     -6.35012     0.06939     0.02213    -0.02186    -0.04400     0.10647    -0.04699    -0.11734     0.05414     0.06139     0.06351     0.02491
     -0.00567    -0.45729     0.02515    -0.01947    -0.01732     0.03103     0.03475    -0.03731     0.01769    -0.03137    -0.03967     0.03003
     -0.00308     0.04301    -0.58895    -0.03857    -0.04322    -0.01598    -0.00914     0.01254    -0.01567     0.03592     0.03301     0.02535
      0.00876    -0.03791    -0.04403    -0.65718     0.05748    -0.02543    -0.02516    -0.04555    -0.00205    -0.02884    -0.02083    -0.06447
      0.00291    -0.04197    -0.06182     0.07799    -0.83826    -0.01588    -0.00382    -0.02572     0.00411    -0.02328    -0.00743    -0.06716
     -0.02469     0.04532    -0.06790    -0.07546     0.03444    -0.39798     0.04138    -0.01840     0.03504     0.03183    -0.04175     0.01398
      0.00135     0.03892    -0.03862     0.03641    -0.06273     0.02366    -0.31304    -0.02049     0.03415    -0.00927     0.00094     0.01077
      0.01664    -0.05552     0.05214    -0.03521     0.04286    -0.03305    -0.02126    -0.28691    -0.01299     0.02791     0.03043     0.02160
     -0.01881     0.03908    -0.06649     0.00470    -0.06629     0.04261     0.04923    -0.00319    -0.39751    -0.00592     0.00280     0.00353
     -0.02176    -0.03652     0.02689    -0.10434     0.01669     0.03583     0.00569     0.03556    -0.00855    -0.36432     0.01531     0.03067
     -0.02278    -0.06424     0.06638     0.02812    -0.09163    -0.05518     0.00454     0.06524     0.00704     0.02248    -0.33809     0.02384
     -0.00369     0.01332     0.01355    -0.01019     0.00214     0.00500    -0.00112     0.00984     0.01331     0.01193     0.01842    -0.14498
  
     -0.42804     0.01020     0.03391     0.03384     0.01269     0.00924    -0.01755     0.00446    -0.00072    -0.00182    -0.00209    -0.00351
      0.41882    -6.24170     0.06487     0.06455     0.08661     0.08291    -0.20564     0.12912     0.18295    -0.38989    -0.03558     0.01344
      0.06470    -0.00063    -0.72239    -0.02579    -0.02420     0.02453    -0.06097     0.02516    -0.00759    -0.03198    -0.02302     0.02399
      0.06737    -0.00033    -0.02632    -0.72009     0.02850    -0.02371    -0.06182    -0.01269     0.03322    -0.03810     0.01312    -0.01803
      0.04305    -0.00220    -0.02053     0.01743    -0.68163    -0.01829     0.00176     0.03768    -0.00724    -0.08862    -0.04014     0.01259
      0.04119    -0.00203     0.01785    -0.02063    -0.01832    -0.69695     0.00257    -0.01550     0.04577    -0.08679     0.00621    -0.02846
     -0.04997     0.02869    -0.04373    -0.04442     0.06383     0.06503    -0.21350    -0.02984    -0.03204     0.00827     0.01909     0.01629
      0.04084    -0.03184     0.05388    -0.03774     0.01633    -0.08231    -0.01854    -0.37818    -0.01133     0.02348    -0.00295     0.02397
      0.04898    -0.03705    -0.03721     0.04618    -0.07507     0.01453    -0.01710    -0.00819    -0.39155     0.01096     0.02193     0.00243
     -0.00297     0.04421     0.03971     0.03903    -0.04837    -0.04787    -0.00166     0.01639     0.01053    -0.23276     0.00370    -0.00145
     -0.01888     0.00112    -0.05521     0.03658    -0.04013     0.05190     0.04105    -0.01855     0.00380     0.02841    -0.31696    -0.01643
     -0.00627    -0.00946     0.02522    -0.06420     0.05017    -0.03734     0.04386     0.00840    -0.01263     0.01248    -0.01271    -0.33922
