  7    0.806100   -1.323000   -0.455500    1.614808
  7   -9.372900   -2.623500   -0.641200    9.754237
  7   -0.201400   -1.403100   -0.723100    1.591265
  7    0.000000    0.000000    0.000000    0.000000
  7   -0.476200   -0.167800   -0.083700    0.511790
  7   -0.016600   -0.502400    0.051400    0.505295
  7    0.471600    0.169600   -0.064700    0.505328
  7    0.011500    0.487500    0.085500    0.495075
  7    0.759700    1.196400   -0.683900    1.573606
  7    0.187300    1.420600    0.730200    1.608222
  7   -0.750700   -1.219100    0.677800    1.584035
  7   -0.824500    1.379700    0.491000    1.680611
  8    8.487000   -2.424400   -0.074400    8.826801
  8    0.001200   -0.001300   -0.002200    0.002823
  8   -0.239600   -0.233500    0.357600    0.489702
  8    0.462900   -0.138300    0.033600    0.484285
  8   -0.447600    0.204500    0.018000    0.492433
  8    0.206000    0.164300   -0.410400    0.487708
  8    0.776300   -1.081200    1.268800    1.838882
  8    1.574600    0.162400   -0.775300    1.762620
  8    1.473800   -0.030300   -0.920100    1.737696
  8   -0.761300    1.051600   -1.240000    1.795283
  8   -1.563100   -0.158400    0.757600    1.744228
  8   -1.464100    0.034400    0.902400    1.720203
